Grid Size,Thread Count,Frame Rate
10000,2,58.84
10000,2,58.82
10000,2,58.84
10000,2,58.79
10000,2,58.81
10000,2,58.83
10000,2,58.84
10000,2,58.84
10000,2,58.85
10000,2,58.87
10000,2,58.87
10000,2,58.87
10000,2,58.82
10000,2,58.83
10000,2,58.83
10000,2,58.86
10000,2,58.83
10000,2,58.83
10000,2,58.85
10000,2,58.88
10000,2,58.84
10000,2,58.85
10000,2,58.86
10000,2,58.86
10000,2,58.88
10000,2,58.88
10000,2,58.89
10000,2,58.43
40000,2,40.31
40000,2,40.40
40000,2,40.50
40000,2,40.60
40000,2,40.56
40000,2,40.66
40000,2,40.63
40000,2,40.73
40000,2,40.69
40000,2,40.78
40000,2,40.72
40000,2,40.82
40000,2,40.91
40000,2,40.88
40000,2,40.98
40000,2,40.94
40000,2,41.04
40000,2,40.99
40000,2,41.08
40000,2,41.03
40000,2,41.12
40000,2,41.08
40000,2,41.17
40000,2,41.12
40000,2,41.22
40000,2,41.31
40000,2,41.26
40000,2,41.35
40000,2,41.31
40000,2,41.41
40000,2,41.35
40000,2,41.45
40000,2,41.39
40000,2,41.49
40000,2,41.58
40000,2,41.53
40000,2,41.62
40000,2,41.57
40000,2,41.66
40000,2,41.61
40000,2,41.70
40000,2,41.79
40000,2,41.76
40000,2,41.85
40000,2,41.80
40000,2,41.89
40000,2,41.85
40000,2,41.94
40000,2,41.91
40000,2,42.00
40000,2,41.95
40000,2,42.03
40000,2,41.98
40000,2,42.07
40000,2,42.16
40000,2,42.11
40000,2,42.19
40000,2,42.15
40000,2,42.24
40000,2,42.20
40000,2,42.29
40000,2,42.25
40000,2,42.34
40000,2,42.29
40000,2,42.38
40000,2,42.29
40000,2,42.38
40000,2,42.47
40000,2,42.40
40000,2,42.49
40000,2,42.58
40000,2,42.50
40000,2,42.59
40000,2,42.54
40000,2,42.62
40000,2,42.71
40000,2,42.67
40000,2,42.75
40000,2,42.72
40000,2,42.80
40000,2,42.77
40000,2,42.86
40000,2,42.81
40000,2,42.90
40000,2,42.86
40000,2,42.94
40000,2,42.90
40000,2,42.98
40000,2,42.94
40000,2,43.03
40000,2,42.99
40000,2,43.08
40000,2,43.04
40000,2,43.12
40000,2,43.08
40000,2,43.17
40000,2,43.07
40000,2,43.15
40000,2,43.23
40000,2,43.18
40000,2,43.26
40000,2,43.35
40000,2,43.28
40000,2,43.36
40000,2,43.31
40000,2,43.39
40000,2,43.48
40000,2,43.43
40000,2,43.51
40000,2,43.47
40000,2,43.55
40000,2,43.52
40000,2,43.60
40000,2,43.56
40000,2,43.64
40000,2,43.59
40000,2,43.67
40000,2,43.62
40000,2,43.70
40000,2,43.65
40000,2,43.73
40000,2,43.81
40000,2,43.76
40000,2,43.85
40000,2,43.81
40000,2,43.89
40000,2,43.84
40000,2,43.92
40000,2,43.86
40000,2,43.94
40000,2,44.02
40000,2,43.96
40000,2,44.05
40000,2,43.98
40000,2,44.06
40000,2,44.01
40000,2,44.09
40000,2,44.17
40000,2,44.14
40000,2,44.22
40000,2,44.17
40000,2,44.25
40000,2,44.21
40000,2,44.29
40000,2,44.24
40000,2,44.32
40000,2,44.27
40000,2,44.35
40000,2,44.29
40000,2,44.37
40000,2,44.44
40000,2,44.40
40000,2,44.47
40000,2,44.43
40000,2,44.51
40000,2,44.44
40000,2,44.52
40000,2,44.59
40000,2,44.55
40000,2,44.62
40000,2,44.59
40000,2,44.67
40000,2,44.62
40000,2,44.69
40000,2,44.63
40000,2,44.71
40000,2,44.66
40000,2,44.74
40000,2,44.82
40000,2,44.76
40000,2,44.84
40000,2,44.79
40000,2,44.86
