Grid Size,Initial Sharks,Initial Fish,Elapsed Time (s),Frame Count,CPU Usage (%),RAM Usage (%)
50,79,383,10,0,12.50,73.00
50,79,383,10,0,6.25,73.00
50,79,383,10,0,12.50,73.00
50,79,383,10,0,6.67,73.00
50,79,383,10,0,10.87,73.00
50,79,383,10,0,10.53,73.00
50,79,383,10,0,4.08,73.00
50,79,383,10,0,13.33,73.00
50,79,383,10,0,2.44,73.00
50,79,383,10,0,0.00,73.00
50,79,383,10,0,11.86,73.00
