Grid Size,Thread Count,Frame Rate
2500,8,58.71
2500,8,58.74
2500,8,58.76
2500,8,58.78
2500,8,58.73
2500,8,58.74
2500,8,58.77
2500,8,58.72
2500,8,58.74
2500,8,58.76
2500,8,58.78
2500,8,58.73
2500,8,58.75
2500,8,58.77
2500,8,58.79
2500,8,58.81
2500,8,58.73
2500,8,58.78
2500,8,58.80
2500,8,58.75
2500,8,58.77
2500,8,58.79
2500,8,58.80
2500,8,58.82
2500,8,58.76
2500,8,58.79
2500,8,58.81
2500,8,58.76
2500,8,58.78
2500,8,58.80
2500,8,58.81
2500,8,58.77
2500,8,58.79
2500,8,58.80
2500,8,58.83
2500,8,58.77
2500,8,58.80
2500,8,58.82
2500,8,58.83
2500,8,58.78
2500,8,58.80
2500,8,58.82
2500,8,58.84
2500,8,58.79
2500,8,58.81
2500,8,58.83
2500,8,58.85
2500,8,58.80
2500,8,58.82
2500,8,58.83
2500,8,58.85
2500,8,58.87
2500,8,58.82
2500,8,58.85
2500,8,58.87
2500,8,58.88
2500,8,58.83
2500,8,58.86
2500,8,58.87
2500,8,58.82
2500,8,58.83
2500,8,58.86
2500,8,58.88
2500,8,58.89
2500,8,58.84
2500,8,58.86
2500,8,58.88
2500,8,58.90
2500,8,58.85
2500,8,58.87
2500,8,58.89
2500,8,58.84
2500,8,58.86
2500,8,58.88
2500,8,58.90
2500,8,58.85
2500,8,58.86
2500,8,58.88
2500,8,58.89
2500,8,58.92
2500,8,58.87
2500,8,58.89
2500,8,58.91
2500,8,58.93
2500,8,58.88
2500,8,58.90
2500,8,58.92
2500,8,58.87
2500,8,58.89
2500,8,58.90
2500,8,58.92
2500,8,58.87
2500,8,58.89
2500,8,58.91
2500,8,58.93
2500,8,58.95
2500,8,58.90
2500,8,58.92
2500,8,58.94
2500,8,58.95
2500,8,58.90
2500,8,58.92
2500,8,58.94
2500,8,58.96
2500,8,58.90
2500,8,58.93
2500,8,58.95
2500,8,58.89
2500,8,58.92
2500,8,58.94
2500,8,58.95
2500,8,58.97
2500,8,58.92
2500,8,58.93
2500,8,58.96
2500,8,58.97
2500,8,58.93
2500,8,58.95
2500,8,58.96
2500,8,58.98
2500,8,58.93
2500,8,58.95
2500,8,58.97
2500,8,58.99
2500,8,58.94
2500,8,58.96
2500,8,58.98
2500,8,58.99
2500,8,58.94
2500,8,58.97
2500,8,58.98
2500,8,59.00
2500,8,58.95
2500,8,58.97
2500,8,58.98
2500,8,59.00
2500,8,58.95
2500,8,58.98
2500,8,58.99
2500,8,59.00
2500,8,58.96
2500,8,58.98
2500,8,59.00
2500,8,59.01
2500,8,58.96
2500,8,58.98
2500,8,58.99
2500,8,59.02
2500,8,58.97
2500,8,58.99
2500,8,59.00
2500,8,59.02
2500,8,58.98
2500,8,59.00
2500,8,59.01
2500,8,59.03
2500,8,58.98
2500,8,59.00
2500,8,59.02
2500,8,58.97
2500,8,58.99
2500,8,59.00
2500,8,59.02
2500,8,59.04
2500,8,59.00
2500,8,59.01
2500,8,59.03
2500,8,59.04
2500,8,59.00
2500,8,59.02
2500,8,59.04
2500,8,59.05
2500,8,59.00
2500,8,59.02
2500,8,59.04
2500,8,59.05
2500,8,59.01
2500,8,59.03
2500,8,59.05
2500,8,59.06
2500,8,59.02
2500,8,59.03
2500,8,59.05
2500,8,59.06
2500,8,59.01
2500,8,59.03
2500,8,59.05
2500,8,59.07
2500,8,59.02
2500,8,59.04
2500,8,59.05
2500,8,59.07
2500,8,59.03
2500,8,59.05
2500,8,59.06
2500,8,59.08
2500,8,59.04
2500,8,59.05
2500,8,59.07
2500,8,59.08
2500,8,59.04
2500,8,59.05
2500,8,59.07
2500,8,59.09
2500,8,59.04
2500,8,59.06
2500,8,59.07
2500,8,59.09
2500,8,59.05
2500,8,59.07
2500,8,59.08
2500,8,59.09
2500,8,59.05
2500,8,59.07
2500,8,59.08
2500,8,59.10
2500,8,59.05
2500,8,59.07
2500,8,59.08
2500,8,58.65
5625,8,58.67
5625,8,58.69
5625,8,58.71
5625,8,58.73
5625,8,58.76
5625,8,58.71
5625,8,58.73
5625,8,58.75
5625,8,58.77
5625,8,58.71
5625,8,58.73
5625,8,58.75
5625,8,58.70
5625,8,58.72
5625,8,58.74
5625,8,58.77
5625,8,58.78
5625,8,58.73
5625,8,58.75
5625,8,58.76
5625,8,58.79
5625,8,58.74
5625,8,58.76
5625,8,58.78
5625,8,58.72
5625,8,58.75
5625,8,58.77
5625,8,58.78
5625,8,58.80
5625,8,58.76
5625,8,58.77
5625,8,58.80
5625,8,58.81
5625,8,58.76
5625,8,58.77
5625,8,58.80
5625,8,58.81
5625,8,58.76
5625,8,58.78
5625,8,58.81
5625,8,58.75
5625,8,58.78
5625,8,58.79
5625,8,58.81
5625,8,58.77
5625,8,58.78
5625,8,58.80
5625,8,58.83
5625,8,58.77
5625,8,58.79
