Grid Size,Thread Count,Frame Rate
2500,4,58.68
2500,4,58.70
2500,4,58.73
2500,4,58.75
2500,4,58.69
2500,4,58.71
2500,4,58.74
2500,4,58.75
2500,4,58.70
2500,4,58.71
2500,4,58.75
2500,4,58.77
2500,4,58.70
2500,4,58.73
2500,4,58.75
2500,4,58.77
2500,4,58.72
2500,4,58.74
2500,4,58.76
2500,4,58.78
2500,4,58.72
2500,4,58.75
2500,4,58.77
2500,4,58.79
2500,4,58.73
2500,4,58.75
2500,4,58.77
2500,4,58.80
2500,4,58.74
2500,4,58.76
2500,4,58.77
2500,4,58.80
2500,4,58.74
2500,4,58.77
2500,4,58.79
2500,4,58.81
2500,4,58.75
2500,4,58.78
2500,4,58.80
2500,4,58.82
2500,4,58.77
2500,4,58.79
2500,4,58.81
2500,4,58.82
2500,4,58.77
2500,4,58.79
2500,4,58.81
2500,4,58.84
2500,4,58.78
2500,4,58.80
2500,4,58.82
2500,4,58.84
2500,4,58.79
2500,4,58.81
2500,4,58.83
2500,4,58.85
2500,4,58.79
2500,4,58.82
2500,4,58.83
2500,4,58.85
2500,4,58.80
2500,4,58.82
2500,4,58.83
2500,4,58.86
2500,4,58.81
2500,4,58.82
2500,4,58.85
2500,4,58.87
2500,4,58.81
2500,4,58.83
2500,4,58.85
2500,4,58.87
2500,4,58.82
2500,4,58.84
2500,4,58.85
2500,4,58.87
2500,4,58.82
2500,4,58.85
2500,4,58.87
2500,4,58.89
2500,4,58.83
2500,4,58.85
2500,4,58.88
2500,4,58.89
2500,4,58.45
5625,4,58.69
5625,4,58.72
5625,4,58.74
5625,4,58.76
5625,4,58.71
5625,4,58.73
5625,4,58.75
5625,4,58.77
5625,4,58.72
5625,4,58.72
5625,4,58.76
5625,4,58.78
5625,4,58.79
5625,4,58.74
5625,4,58.76
5625,4,58.79
5625,4,58.73
5625,4,58.75
5625,4,58.77
5625,4,58.79
5625,4,58.74
5625,4,58.76
5625,4,58.78
5625,4,58.80
5625,4,58.74
5625,4,58.76
5625,4,58.79
5625,4,58.81
5625,4,58.75
5625,4,58.77
5625,4,58.78
5625,4,58.81
5625,4,58.76
5625,4,58.78
5625,4,58.80
5625,4,58.82
5625,4,58.77
5625,4,58.79
5625,4,58.81
5625,4,58.83
5625,4,58.78
5625,4,58.80
5625,4,58.82
5625,4,58.84
5625,4,58.79
5625,4,58.80
5625,4,58.82
5625,4,58.84
5625,4,58.79
5625,4,58.81
5625,4,58.83
5625,4,58.85
5625,4,58.79
5625,4,58.81
5625,4,58.83
5625,4,58.86
5625,4,58.81
5625,4,58.82
5625,4,58.84
5625,4,58.86
5625,4,58.80
5625,4,58.83
5625,4,58.85
5625,4,58.87
5625,4,58.82
5625,4,58.84
5625,4,58.86
5625,4,58.87
5625,4,58.82
5625,4,58.84
5625,4,58.86
5625,4,58.89
5625,4,58.83
5625,4,58.85
5625,4,58.87
5625,4,58.89
5625,4,58.84
5625,4,58.86
5625,4,58.88
5625,4,58.89
5625,4,58.25
10000,4,58.58
10000,4,58.61
10000,4,58.63
10000,4,58.64
10000,4,58.67
10000,4,58.61
10000,4,58.62
10000,4,58.66
10000,4,58.68
10000,4,58.62
10000,4,58.65
10000,4,58.67
10000,4,58.61
10000,4,58.63
10000,4,58.66
10000,4,58.67
10000,4,58.62
10000,4,58.64
10000,4,58.66
10000,4,58.69
10000,4,58.71
10000,4,58.65
10000,4,58.67
10000,4,58.69
10000,4,58.71
10000,4,58.66
10000,4,58.68
10000,4,58.70
10000,4,58.72
10000,4,58.67
10000,4,58.69
10000,4,58.71
10000,4,58.73
10000,4,58.68
10000,4,58.69
10000,4,58.72
10000,4,58.74
10000,4,58.68
10000,4,58.71
10000,4,58.73
10000,4,58.74
10000,4,58.70
10000,4,58.71
10000,4,58.73
10000,4,58.75
10000,4,58.69
10000,4,58.72
10000,4,58.74
10000,4,58.76
10000,4,58.71
10000,4,58.72
10000,4,58.74
10000,4,58.76
10000,4,58.71
10000,4,58.73
10000,4,58.76
10000,4,58.77
10000,4,58.71
10000,4,58.74
10000,4,58.73
10000,4,58.76
10000,4,58.79
10000,4,58.75
10000,4,58.76
10000,4,58.78
10000,4,58.74
10000,4,58.74
10000,4,58.76
10000,4,58.79
10000,4,58.74
10000,4,58.76
10000,4,58.78
10000,4,58.80
10000,4,58.75
10000,4,58.77
10000,4,58.79
10000,4,58.81
10000,4,58.76
10000,4,58.21
15625,4,58.66
15625,4,58.60
15625,4,58.63
15625,4,58.65
15625,4,58.68
15625,4,58.62
15625,4,58.64
15625,4,58.66
15625,4,58.68
15625,4,58.60
15625,4,58.62
15625,4,58.57
15625,4,58.56
15625,4,58.66
15625,4,58.66
15625,4,58.68
15625,4,58.70
15625,4,58.63
15625,4,58.64
15625,4,58.65
15625,4,58.68
15625,4,58.71
15625,4,58.65
15625,4,58.67
15625,4,58.70
15625,4,58.72
15625,4,58.73
15625,4,58.68
15625,4,58.70
15625,4,58.72
15625,4,58.67
15625,4,58.69
15625,4,58.71
15625,4,58.73
